0,ANCHOR C+,,Exemple de décteur de plan ( Algorithme A),,,,,,,,
42,PLAN NOIR,,1,42,,,Vérité terrain,,,,
52,QUICK,,2,52,,,NB chgt de plans,82,,,
120,,,,,,,NB cut,74,,,
129,,,,,,,NB effets,8,,,
142,,,3,142,,,,,,,
163,,,4,162,,,,,,,
187,,,,,,,Algorithme A,,,,
200,,,,,,,Vrais positifs,Faux positifs,,Précision,Rappel
221,,,,,,,61,0,,"100,00 %","74,39 %"
248,,,,,,,,,,,
256,,,,,,,,,,,
268,,,,,,,,,,,
307,,,,,,,,,,,
481,VOLET,,5,485,,,,,,,
520,FONDU,,,,,,,,,,
552,PLAN NOIR,,6,552,,,,,,,
561,LIPTON,,7,561,,,,,,,
582,,,8,582,,,,,,,
595,,,9,595,,,,,,,
615,,,10,615,,,,,,,
635,,,11,635,,,,,,,
664,,,12,664,,,,,,,
690,,,13,690,,,,,,,
705,,,14,705,,,,,,,
720,,,,,,,,,,,
746,,,15,746,,,,,,,
812,PLAN NOIR,,16,812,,,,,,,
821,CEGETEL,,17,821,,,,,,,
853,,,18,853,,,,,,,
903,,,19,903,,,,,,,
956,,,20,956,,,,,,,
975,,,21,975,,,,,,,
998,,,22,998,,,,,,,
1027,,,23,1027,,,,,,,
1062,,,24,1062,,,,,,,
1099,,,25,1099,,,,,,,
1120,,,26,1120,,,,,,,
1144,,,27,1144,,,,,,,
1177,,,28,1177,,,,,,,
1220,,,29,1220,,,,,,,
1255,,,30,1255,,,,,,,
1293,,,31,1293,,,,,,,
1335,,,32,1335,,,,,,,
1367,,,33,1367,,,,,,,
1409,FONDU,,,,,,,,,,
1573,PLAN NOIR,,34,1573,,,,,,,
1582,SALVETA,,35,1582,,,,,,,
1655,,,36,1655,,,,,,,
1735,,,37,1735,,,,,,,
1812,,,38,1812,,,,,,,
1871,,,,,,,,,,,
1895,,,39,1895,,,,,,,
1900,VOLET,,,,,,,,,,
1909,FONDU,,,,,,,,,,
1960,,,,,,,,,,,
2007,PLAN NOIR,,40,2007,,,,,,,
2016,VW POLO,,41,2016,,,,,,,
2106,,,42,2106,,,,,,,
2147,,,43,2147,,,,,,,
2184,,,44,2184,,,,,,,
2243,,,45,2243,,,,,,,
2487,,,46,2487,,,,,,,
2526,,,47,2526,,,,,,,
2617,VOLET,,48,2617,,,,,,,
2684,FONDU,,,,,,,,,,
2766,PLAN NOIR,,49,2766,,,,,,,
2775,KIT KAT,,50,2775,,,,,,,
2808,,,51,2808,,,,,,,
2829,,,52,2829,,,,,,,
2858,,,53,2858,,,,,,,
2881,,,54,2881,,,,,,,
2917,,,55,2917,,,,,,,
2934,,,56,2934,,,,,,,
2962,,,57,2962,,,,,,,
2978,,,,,,,,,,,
3011,,,58,3011,,,,,,,
3086,,,59,3086,,,,,,,
3179,,,,,,,,,,,
3230,FONDU,,,,,,,,,,
3277,PLAN NOIR,,60,3277,,,,,,,
3287,ANCHOR C+,,61,3287,,,,,,,
